NBody2 100 body 10 iterazioni 8 processi
Body 0: x-> 0.390094, y-> -0.047339, z-> 0.442197, vx-> -6.120565, vy-> 2.975125, vz-> -1.731018
Body 1: x-> -0.130994, y-> 0.483934, z-> -0.203888, vx-> 3.820222, vy-> -0.848334, vz-> 4.643294
Body 2: x-> -0.175241, y-> 0.057906, z-> 0.598268, vx-> -1.639540, vy-> -1.854977, vz-> -6.248559
Body 3: x-> -0.599456, y-> 0.155534, z-> -0.676653, vx-> 2.887987, vy-> -0.646101, vz-> 4.956120
Body 4: x-> -0.569293, y-> -0.041249, z-> -0.531921, vx-> 3.188081, vy-> 1.883124, vz-> 4.271045
Body 5: x-> 0.223242, y-> 0.350375, z-> 0.322456, vx-> 0.313346, vy-> -4.620904, vz-> -0.268460
Body 6: x-> 0.172453, y-> 0.581134, z-> -0.383904, vx-> 1.118031, vy-> -8.869890, vz-> 2.746792
Body 7: x-> -0.230116, y-> 0.681542, z-> -0.159520, vx-> -3.105548, vy-> -3.720740, vz-> 4.369999
Body 8: x-> -0.686051, y-> 0.648835, z-> 0.114149, vx-> 4.099723, vy-> -4.188637, vz-> 0.861381
Body 9: x-> 0.475608, y-> -0.234458, z-> -0.674733, vx-> -4.894416, vy-> 1.429947, vz-> 4.820418
Body 10: x-> 0.105630, y-> 0.422692, z-> 0.630277, vx-> 9.905560, vy-> -8.080901, vz-> -3.822426
Body 11: x-> -0.112332, y-> 0.369303, z-> 0.218918, vx-> 1.957816, vy-> -2.571177, vz-> 5.217025
Body 12: x-> -0.155076, y-> 0.520682, z-> 0.620317, vx-> -0.397297, vy-> -7.197839, vz-> -5.659902
Body 13: x-> 0.033502, y-> 0.975977, z-> 0.218767, vx-> -5.189938, vy-> 20.003716, vz-> -2.555924
Body 14: x-> 0.414622, y-> -0.201479, z-> -0.389645, vx-> -4.996309, vy-> 1.318915, vz-> 10.847471
Body 15: x-> 0.667826, y-> 0.152365, z-> 0.456231, vx-> -5.857556, vy-> -0.145559, vz-> 2.141043
Body 16: x-> -0.001176, y-> 0.756178, z-> 3.288434, vx-> 2.593032, vy-> 3.246543, vz-> 48.921173
Body 17: x-> 0.791641, y-> 0.713817, z-> -0.622740, vx-> -2.716279, vy-> -2.526196, vz-> 1.672786
Body 18: x-> 0.088297, y-> -0.012295, z-> 0.283873, vx-> -4.147963, vy-> 7.653893, vz-> -1.449342
Body 19: x-> -0.470284, y-> -0.331202, z-> 0.248750, vx-> 3.799994, vy-> 4.057084, vz-> 1.210811
Body 20: x-> -0.581294, y-> -0.508553, z-> -1.262754, vx-> 3.790694, vy-> 2.196045, vz-> -25.272945
Body 21: x-> 0.140793, y-> -1.649083, z-> 0.483586, vx-> -2.835073, vy-> -21.612461, vz-> 0.755369
Body 22: x-> 0.184090, y-> -0.811261, z-> -0.396054, vx-> -0.507198, vy-> -3.612179, vz-> 4.942353
Body 23: x-> -0.415610, y-> 0.376062, z-> -0.676328, vx-> 3.519371, vy-> -1.331262, vz-> 3.307481
Body 24: x-> -1.154114, y-> -0.139286, z-> 1.378253, vx-> -8.273287, vy-> 5.286915, vz-> 11.183973
Body 25: x-> 0.285712, y-> 0.392604, z-> -0.622011, vx-> 1.004933, vy-> -2.163453, vz-> 4.700790
Body 26: x-> -0.485257, y-> -0.339227, z-> 1.531765, vx-> 5.561864, vy-> 5.620069, vz-> 29.456244
